Company,Facility,OrderID,OrderType,Customer,Carrier,Reference,PO,SO,PRO,StoreNo,CreateTime,ScheduleDate,AppointmentTime,InYardDate,PickedDate,ShippedDate,Cancelled,CancelledDate,EntryType,ContainerNo,ContainerType,ContainerQty,TrailerQty,TrailerType,EntryID,RushOrder,LoadNo,LoadType,UsedHours,LabelQty,Item,ItemGrade,ItemType,Title,Supplier,ItemUOM,OrderedQty,PickType,PickQty,ShippedQty,ItemVOL,VolumeUOM,ItemWGT,WeightUOM,ItemAREA,AreaUOM,PalletType,PalletQty
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78060,,,HALLMART001,,CS,36,CASE_PICK,0,0,6.9878025,cubic footage,26,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78067,,,HALLMART001,,CS,3,CASE_PICK,0,0,5.869754100000001,cubic footage,23,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78068,,,HALLMART001,,CS,30,CASE_PICK,0,0,6.1492662000000005,cubic footage,25,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78069,,,HALLMART001,,CS,16,CASE_PICK,0,0,7.267314600000001,cubic footage,26,POUND,483,square footage,other size,1
LT,VB,DN-4487,,HALLMART001,Toll Global Forwarding,BBB-TOLL2-032618,BBB-TOLL2-032618,BBB-TOLL2-032618,,,2018-03-22 17:29:39,2018-03-26 12:00:00,,,2018-03-26 08:17:37,2018-03-26 09:05:23,false,,EDI,,,0,0,48,,false,,,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73806,,,HALLMART001,,CS,10,CASE_PICK,0,0,0.7499952000000001,cubic footage,11,POUND,108,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73810,,,HALLMART001,,CS,16,CASE_PICK,0,0,0.8124948000000001,cubic footage,11,POUND,117,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73814,,,HALLMART001,,CS,5,CASE_PICK,0,0,0.7499952000000001,cubic footage,11,POUND,108,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73818,,,HALLMART001,,CS,33,CASE_PICK,0,0,0.8124948000000001,cubic footage,11,POUND,117,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73823,,,HALLMART001,,CS,3,CASE_PICK,0,0,0.8802027,cubic footage,12,POUND,117,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78002,,,HALLMART001,,CS,73,CASE_PICK,0,0,6.1492662000000005,cubic footage,24,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78003,,,HALLMART001,,CS,20,CASE_PICK,0,0,8.5555008,cubic footage,24,POUND,672,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78004,,,HALLMART001,,CS,8,CASE_PICK,0,0,6.1492662000000005,cubic footage,24,POUND,483,square footage,other size,1
